flowFrame object 'Plate1_96w.fcs'
with 45036 cells and 27 observables:
                name            desc      range minRange   maxRange
$P1             TIME        Time LSW 4294967296        0 4294967295
$P2            TIME2        Time MSW 4294967296        0 4294967295
$P3       FL5-Height      405-448/59 4294967296        0 4294967295
$P4         FL5-Area      405-448/59 4294967296        0 4294967295
$P5        FL5-Width      405-448/59 4294967296        0 4294967295
$P6      FSC1-Height        488-FSC1 4294967296        0 4294967295
$P7        FSC1-Area        488-FSC1 4294967296        0 4294967295
$P8       FSC1-Width        488-FSC1 4294967296        0 4294967295
$P9      SSC2-Height         488-SSC 4294967296        0 4294967295
$P10       SSC2-Area         488-SSC 4294967296        0 4294967295
$P11      SSC2-Width         488-SSC 4294967296        0 4294967295
$P12     FL14-Height      488-513/26 4294967296        0 4294967295
$P13       FL14-Area      488-513/26 4294967296        0 4294967295
$P14      FL14-Width      488-513/26 4294967296        0 4294967295
$P15     FL15-Height      488-576/21 4294967296        0 4294967295
$P16       FL15-Area      488-576/21 4294967296        0 4294967295
$P17      FL15-Width      488-576/21 4294967296        0 4294967295
$P18     FL28-Height      561-579/16 4294967296        0 4294967295
$P19       FL28-Area      561-579/16 4294967296        0 4294967295
$P20      FL28-Width      561-579/16 4294967296        0 4294967295
$P21     FL35-Height      640-671/30 4294967296        0 4294967295
$P22       FL35-Area      640-671/30 4294967296        0 4294967295
$P23      FL35-Width      640-671/30 4294967296        0 4294967295
$P24     FL36-Height      640-722/44 4294967296        0 4294967295
$P25       FL36-Area      640-722/44 4294967296        0 4294967295
$P26      FL36-Width      640-722/44 4294967296        0 4294967295
$P27 Sort Classifier Sort Classifier 4294967296        0 4294967295
353 keywords are stored in the 'description' slot
