Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL14-Height,FL14-Area,FL14-Width,FL15-Height,FL15-Area,FL15-Width,FL28-Height,FL28-Area,FL28-Width,FL35-Height,FL35-Area,FL35-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
A 1,1874344,0,1704228,1317795,813694976,1488255118,1268666906,360710144,615367174,565369535,478150656,1660228,1489387,796917760,8994174,9386198,520093696,8989168,9220559,578813952,11297200,9510454,469762048,5610482,5309352,570425344,68288511,
A 2,46052101,0,3710850,2696217,318767104,1522474958,1293571145,411041792,807549382,644681028,402653184,1656078,1319611,385875968,17982830,19995866,570425344,21897456,25014395,578813952,635360,486425,687865856,1388232,1006565,603979776,69337087,
A 3,90594698,0,1905610,1363777,352321536,1929302592,1422729257,293601280,1159395060,897577764,394264576,1272898,955291,402653184,40284852,40980555,503316480,55297578,57123699,528482304,607578,380600,444596224,744618,479330,637534208,70385663,
A 4,135016248,0,1900172,1510610,830472192,1723997732,1226099336,301989888,823152422,582876415,360710144,1059016,658922,310378496,5097252,4632924,452984832,2200626,2031115,1174405120,7030830,5764622,578813952,3474850,2406174,343932928,71434239,
A 5,182560426,0,1014574,743630,469762048,1185426286,878632693,310378496,626735316,545614680,452984832,74024904,57875937,385875968,28079708,24460196,452984832,1737218,1105244,452984832,1198158,643385,721420288,5678574,5733328,654311424,72482815,
A 6,229244192,0,1737176,1410748,385875968,1491924098,1155994949,335544320,596354172,469120525,385875968,840660,805802,520093696,5760158,5461584,528482304,3167508,2799897,411041792,29553868,28024830,461373440,5299174,5942753,620756992,73531391,
A 7,275430291,0,3123692,1927980,234881024,1813519268,1471902966,285212672,1096138058,767948369,352321536,12990668,7590288,276824064,51436728,46243082,452984832,65691570,65475090,494927872,646342,266458,469762048,1246286,867799,385875968,74579967,
A 8,323057569,0,1487798,985562,318767104,1349418602,1026983210,301989888,650792586,466192208,360710144,51227442,35805214,360710144,20693446,13970148,343932928,835264,650373,897581056,205808,44179,109051904,1662316,1168475,352321536,75628543,
A 9,367984735,0,2772182,1474368,234881024,1374860804,1026385756,335544320,695630228,485265260,335544320,1207496,857397,385875968,24915954,22482821,444596224,30730346,32549659,486539264,304242,129551,419430400,881266,402499,335544320,76677119,
A 10,438884236,0,2618710,2230000,1191182336,1732614712,1357718165,318767104,804000530,713400377,461373440,2460006,1895337,402653184,6916390,7218181,2139095039,5459464,5138137,503316480,4184456,3728092,411041792,2112358,1415105,536870912,77725695,
A 11,481989768,0,1640710,1385497,419430400,1097841428,997348281,394264576,522510252,418627767,402653184,1328086,1131535,427819008,4769660,3835858,310378496,1686776,1538425,905969664,57968722,61268671,545259520,15672414,14814683,478150656,78774271,
A 12,526450765,0,2495796,1515735,746586112,1595911010,1151183434,310378496,761538370,648553345,444596224,2150396,1623734,394264576,7176424,5828388,411041792,5396496,4378073,411041792,3344018,2426539,528482304,2563032,1990239,612368384,79822847,
B 12,572382819,0,3315010,3842752,1182793728,1628337462,1607958284,1585446912,1156243820,1577862446,411041792,2080524,3212880,486539264,9810854,13259244,511705088,7911620,10121890,1140850688,14156042,15396283,796917760,6304716,10350050,805306368,146931711,
B 11,621415398,0,2335954,1577589,318767104,1416195724,1099254127,310378496,553335276,446664536,419430400,1343350,969229,360710144,5136270,4230524,452984832,2331008,1754200,796917760,19677898,15862123,419430400,7406856,4747123,318767104,145883135,
B 10,668799753,0,3719948,2892687,335544320,1119226126,1231963259,620756992,1221349380,951073234,394264576,2122168,1779337,427819008,62018310,69563591,595591168,89137602,96349851,553648128,720670,714543,822083584,2063432,1216072,687865856,144834559,
B 9,719493385,0,2859970,2421637,805306368,1663973892,1669050709,444596224,1418783914,1119066331,394264576,5500134,5672552,587202560,20006672,23229993,603979776,26572576,34223465,679477248,1214986,697487,805306368,1209170,854331,587202560,143785983,
B 8,482394779,0,2185828,2087789,1518338048,1592769004,1302328820,343932928,698491202,613830792,452984832,1597908,1208641,385875968,7422260,6629280,385875968,3807494,3015794,411041792,38094618,37802368,511705088,8256756,7569069,494927872,142737407,
B 7,529599240,0,1792500,1579732,1031798784,1884043534,1349631724,276824064,785765128,677548292,436207616,1691584,1593481,528482304,18092952,14613504,360710144,16898078,15996161,419430400,37514538,32143148,427819008,9631622,7441566,427819008,141688831,
B 6,573548926,0,1516616,1394443,1140850688,1203810448,977985788,369098752,843763274,714618212,402653184,72895684,58850098,402653184,33945898,27137346,385875968,1670334,1725314,922746880,810046,640929,578813952,9822564,11384731,595591168,140640255,
B 5,620036229,0,1088930,1000278,746586112,1277793534,989812773,360710144,756199796,614248205,402653184,1145952,891591,411041792,3753930,4046679,1258291200,1706190,1048780,234881024,756526,162994,125829120,1268088,619030,427819008,139591679,
B 4,663678393,0,1732438,1411039,411041792,1279781010,1064275263,385875968,490356294,349807539,352321536,1028610,810982,461373440,11585328,11397746,478150656,12426578,10886757,436207616,848706,296258,176160768,1316508,741738,939524096,138543103,
B 3,708315726,0,2409696,2110858,335544320,1153165614,1450997427,629145600,1006690918,873743927,419430400,2292246,1972734,444596224,16019992,16214242,478150656,12908636,15127107,553648128,48037468,49391975,511705088,17451196,13703937,394264576,137494527,
B 2,754784068,0,2217626,2215057,947912704,894859724,1459843140,1149239296,913298296,882946237,469762048,3450204,3755328,469762048,7867900,7782403,880803840,6630296,4802570,318767104,74469230,91949861,629145600,19325008,22010225,503316480,136445951,
B 1,798881617,0,3107684,1882528,293601280,1478628166,1196264546,343932928,733323768,605003335,419430400,2320386,1700896,352321536,9396596,8515017,813694976,5728414,5583153,536870912,2485044,2281691,645922816,4782656,3664051,360710144,135397375,
C 1,845139263,0,3107120,2359668,704643072,1799793118,1399036983,276824064,1028105558,777119841,377487360,2507850,1971795,352321536,59730982,61863958,562036736,83203648,86932235,536870912,495648,187956,335544320,887916,364030,411041792,202506239,
C 2,890949137,0,1778744,1898290,553648128,1768183738,1194272180,293601280,630017008,557431113,461373440,1334568,1017910,394264576,23413232,27549768,629145600,33206046,35717755,536870912,600192,174513,134217728,499094,146367,343932928,203554815,
C 3,934447912,0,1702188,1487712,503316480,1336935342,1222856161,461373440,712149386,617873205,452984832,1933140,1361514,327155712,5146066,4763251,444596224,3725284,3399193,780140544,2117190,1929110,687865856,739998,245650,167772160,204603391,
C 4,979970079,0,2067694,1559903,394264576,1355396084,1024088251,343932928,805383200,668605687,427819008,15184516,13309053,444596224,12094226,8629225,310378496,2495182,1559985,511705088,1564482,780438,679477248,14574092,14716794,536870912,205651967,
C 5,1024516788,0,3317602,2242629,369098752,1673126614,1205707165,243269632,720531142,607627657,436207616,1162712,1021860,444596224,49091318,59537821,620756992,69283278,89041769,662700032,691678,268883,394264576,488612,166833,301989888,206700543,
C 6,1069511337,0,3982166,3376888,343932928,1704620272,1463245977,335544320,1215948956,973622369,394264576,4770094,3422744,352321536,16359376,20518515,629145600,16925464,22512967,671088640,1259476,822751,536870912,696594,404551,478150656,207749119,
C 7,1115866415,0,2191430,1840277,1199570944,1506159232,1185777079,327155712,576092400,478156269,402653184,1282978,1123829,478150656,5246118,4358495,411041792,1368372,1404923,939524096,587580,160986,150994944,1051570,356441,167772160,208797695,
C 8,1162135987,0,1933878,1596199,419430400,1068849622,1080015025,478150656,606593550,529403691,452984832,1147916,973595,469762048,5193954,5566729,1224736768,3022652,2607963,595591168,4896994,4196761,452984832,2982074,2174441,402653184,209846271,
C 9,1210974927,0,861646,587035,939524096,817331140,752004674,478150656,493334378,416781820,427819008,18388554,14652769,402653184,9741754,8455938,419430400,976382,477755,285212672,294004,122215,444596224,1679442,1174844,343932928,210894847,
C 10,1274458376,0,4128904,3151611,360710144,2068324944,1529501292,243269632,1202093042,987471368,419430400,3934876,3555879,503316480,38254858,44103966,612368384,42810304,55357371,645922816,1291162,704326,511705088,1031734,1015611,1023410176,211943423,
