Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL12-Height,FL12-Area,FL12-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
A 1,120155,0,868154,1015965,553648128,2048048808,80483336,369098752,1031471180,972451877,293601280,64660672,67990625,343932928,22673574,26444015,385875968,68288511,
A 1,186803,0,1162092,1322130,771751936,1475943618,1891565925,427819008,458732680,423639632,293601280,32802982,38349994,385875968,18973630,19800201,343932928,68288511,
A 1,475626,0,965302,585468,528482304,1596942144,2146550161,452984832,439132988,409131147,293601280,74456276,80363762,343932928,37381556,33079643,260046848,68288511,
A 1,518737,0,806730,1977763,1283457024,1826116478,2113021682,402653184,752141028,631534742,268435456,58641726,62348547,335544320,41246260,39223595,285212672,68288511,
A 1,773291,0,724048,1675895,1946157056,1895515106,2133281468,377487360,595655240,497518378,260046848,67310394,64727369,301989888,18085944,20000415,360710144,68288511,
A 1,1181463,0,865672,2353844,2122317824,19030455,36482359,301989888,474921226,396136068,251658240,54004586,59802647,352321536,35432318,36202556,335544320,68288511,
A 1,1189974,0,1055422,1880081,1342177280,1462855630,2028874815,486539264,705772306,607456980,268435456,67714374,67700959,301989888,21601038,18090502,243269632,68288511,
A 1,1277713,0,1322832,1271752,679477248,392245491,134898929,226492416,565127840,500126780,276824064,74473188,72362238,310378496,33568300,30233430,268435456,68288511,
A 1,1562295,0,590904,913527,1040187392,1382096588,1796953833,461373440,607379530,528591679,276824064,36299420,42427069,360710144,20329168,19357194,310378496,68288511,
A 1,2034400,0,1011616,1279678,763363328,921463102,1367028396,503316480,493559090,450342142,285212672,70033760,76635297,360710144,35030082,37367511,335544320,68288511,
A 2,57544188,0,1190366,1570658,1191182336,1260276370,1882438952,520093696,603809950,559350963,285212672,51740182,53989678,327155712,28584400,26528412,268435456,69337087,
A 3,93641704,0,587918,230463,134217728,1935085202,78677075,385875968,582368124,490573051,260046848,56235018,58315264,335544320,17250154,17325778,318767104,70385663,
